Кандзи;Чтение;Перевод;Примеры слов;Мнемоническая подсказка
流;なが(れる), りゅう, る;течение, раковина, течь;流し (нагаши - раковина) 二流 (にりゅу - второго сорта);Когда моюсь в РАКОВИНЕ, чувствую себя хорошо, и вода ТЕЧЁТ как река (川).
港;みなと, こう;гавань;空港 (くうこう - аэропорт) 港町 (みなとまち - портовый город);Десятки (十) людей и змея встречаются вместе (共) в ГАВАНИ, чтобы попрощаться с отходящими кораблями.
池;いけ, ち;пруд;池 (ике - пруд) 電池 (でんち - батарея [резервуар энергии]);Поплавок показывает, что уровень воды поднимается в ПРУДУ.
波;なみ, は;волна;波 (нами - волна) 津波 (цунами - цунами) 脳波 (のうха - мозговые волны);Вода брызжет ВОЛНАМИ на утёс (厂), где стол нужно привязывать.
洗;あら(う), せん;мыть;洗う (арау - мыть) 洗濯 (せんたく - стирка);Воду используют, чтобы МЫТЬ саженцы, посаженные ранее (先).
浴;あ(びる), よく;купаться;浴びる (абиру - купаться, обливаться) 海水浴 (かいすийоку - морское купание);Человек (人) отдыхает между пиками в долине, чтобы говорить и КУПАТЬСЯ в воде.
注;そそ(ぐ), ちゅう;лить, орошать;注ぐ (сосогу - лить) 注意 (ちゅуи - внимание) 注文 (ちゅумон - заказ);Господин поместья позволял ОРОШАТЬ поля или ЛИТЬ воду.
混;ま(じる), こん;смешивать;混じる (мадзиру - смешиваться) 混雑 (конзацу - путаница, пробка);По сравнению (比) с добавлением равных частей воды и солнца (日) для СМЕШИВАНИЯ, этот метод не так эффективен.
泳;およ(ぐ), えい;плавать;泳ぐ (оёгу - плавать) 水泳 (すいえい - плавание);Вода (水) брызжет, когда кто-то ныряет с доски, чтобы ПЛАВАТЬ.
泣;な(く);плакать;泣く (наку - плакать);Кто-то стоит (立), ПЛАЧА слезами грусти.
激;はげ(しい), げき;яростный, возбуждаться;激しい (хагесии - яростный) 急激 (きゅугэки - внезапный);Вода стала белой (白) в разных направлениях (方) в ЯРОСТНОМ дожде на пикниковом столе.
油;あぶら, ゆ;масло, жир;油 (абура - масло, жир) 石油 (せкию - нефть);Слив воду из поля (田) и пробурив вниз, нашли НЕФТЬ!
湯;ゆ, とう;горячая вода, ванна;お湯 (ою - горячая вода) 熱湯 (неттоу - кипяток);ГОРЯЧАЯ ВОДА, нагретая солнцем (日), — одна (一) важная вещь для купания пушистых существ.
潮;しお, ちょう;солёная вода, прилив;満潮 (манчоу - прилив) 朝潮 (асашио - утренний прилив);Утром (朝) вода брызжет, когда ПРИЛИВ СОЛЁНОЙ ВОДЫ меняется.
温;あたた(かい), おん;тёплый;暖かい (ататакаи - тёплый) 温泉 (онсен - горячий источник);Используйте ТЁПЛУЮ воду каждый день (日), чтобы мыть посуду (皿).
